,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
33029,65553,NIFTY30DEC2525550CE,NIFTY,30DEC2025,2555000.000000,75,OPTIDX,NFO,5.000000
33030,65560,NIFTY30DEC2525700PE,NIFTY,30DEC2025,2570000.000000,75,OPTIDX,NFO,5.000000
33031,65563,NIFTY30DEC2525800CE,NIFTY,30DEC2025,2580000.000000,75,OPTIDX,NFO,5.000000
33032,65569,NIFTY30DEC2525850CE,NIFTY,30DEC2025,2585000.000000,75,OPTIDX,NFO,5.000000
33034,65640,NIFTY30DEC2526250CE,NIFTY,30DEC2025,2625000.000000,75,OPTIDX,NFO,5.000000
33037,65714,NIFTY30DEC2526650PE,NIFTY,30DEC2025,2665000.000000,75,OPTIDX,NFO,5.000000
33038,65719,NIFTY30DEC2526800CE,NIFTY,30DEC2025,2680000.000000,75,OPTIDX,NFO,5.000000
33039,65724,NIFTY30DEC2526800PE,NIFTY,30DEC2025,2680000.000000,75,OPTIDX,NFO,5.000000
33040,65898,NIFTY29SEP2623000CE,NIFTY,29SEP2026,2300000.000000,75,OPTIDX,NFO,5.000000
33041,65730,NIFTY30DEC2526950PE,NIFTY,30DEC2025,2695000.000000,75,OPTIDX,NFO,5.000000
33042,65734,NIFTY30DEC2527100PE,NIFTY,30DEC2025,2710000.000000,75,OPTIDX,NFO,5.000000
33043,65757,NIFTY30DEC2527700CE,NIFTY,30DEC2025,2770000.000000,75,OPTIDX,NFO,5.000000
33044,65906,NIFTY29SEP2627000CE,NIFTY,29SEP2026,2700000.000000,75,OPTIDX,NFO,5.000000
33131,67786,NIFTY26DEC2826000CE,NIFTY,26DEC2028,2600000.000000,75,OPTIDX,NFO,5.000000
33132,67789,NIFTY26DEC2827000PE,NIFTY,26DEC2028,2700000.000000,75,OPTIDX,NFO,5.000000
33274,71393,NIFTY30DEC2524000CE,NIFTY,30DEC2025,2400000.000000,75,OPTIDX,NFO,5.000000
33280,71502,NIFTY29DEC2624000PE,NIFTY,29DEC2026,2400000.000000,75,OPTIDX,NFO,5.000000
